Date,Open,High,Low,Close,Volume,Adj Close
2015-03-31,19.30,19.48,18.82,18.94,34618000,18.27649
2015-03-30,19.00,19.00,18.52,18.98,34984200,18.31509
2015-03-27,18.22,18.44,18.00,18.42,15825900,17.77471
2015-03-26,18.06,18.32,18.06,18.28,10622600,17.63961
2015-03-25,18.52,18.52,18.26,18.30,19734700,17.65891
2015-03-24,18.90,18.90,18.16,18.32,23159500,17.67821
2015-03-23,19.10,19.20,18.60,18.80,13118800,18.14139
2015-03-20,18.88,18.88,18.42,18.72,23690400,18.0642
2015-03-19,18.84,18.88,18.52,18.74,27495100,18.0835
2015-03-18,18.30,18.68,18.28,18.50,23457000,17.8519
2015-03-17,18.42,18.42,18.12,18.28,18142800,17.63961
2015-03-16,18.08,18.40,18.06,18.36,26625800,17.71681
2015-03-13,17.66,18.40,17.66,18.26,59463900,17.62031
2015-03-12,17.20,17.78,17.12,17.56,35646200,16.94483
2015-03-11,17.04,17.32,16.98,17.02,21805700,16.42375
2015-03-10,17.40,17.40,16.96,17.10,17017600,16.50095
2015-03-09,16.80,17.56,16.68,17.34,28242500,16.73254
2015-03-06,17.36,17.36,16.98,17.02,11132500,16.42375
2015-03-05,17.10,17.18,16.80,16.94,22086400,16.34655
2015-03-04,17.52,17.52,17.10,17.14,24435400,16.53955
2015-03-03,17.88,17.88,17.40,17.46,24608600,16.84834
2015-03-02,18.18,18.18,17.70,17.94,21502500,17.31152
2015-02-27,17.90,17.96,17.66,17.70,17063800,17.07993
2015-02-26,17.52,17.86,17.36,17.82,27031300,17.19573
2015-02-25,17.52,17.64,17.40,17.62,18064600,17.00273
2015-02-24,17.60,17.68,17.48,17.52,18470400,16.90624
2015-02-23,18.04,18.04,17.52,17.70,17532400,17.07993
2015-02-20,17.88,17.88,17.88,17.88,000,17.25362
2015-02-19,17.88,17.88,17.88,17.88,000,17.25362
2015-02-18,17.92,18.00,17.70,17.88,4912600,17.25362
2015-02-17,17.70,18.00,17.70,17.90,11481000,17.27292
2015-02-16,18.16,18.16,17.74,17.90,24604100,17.27292
2015-02-13,18.14,18.22,17.98,18.16,21041600,17.52381
2015-02-12,17.72,18.04,17.60,17.98,22106100,17.35012
2015-02-11,17.66,17.86,17.60,17.72,11075800,17.09923
2015-02-10,17.48,17.74,17.34,17.66,11333100,17.04133
2015-02-09,17.58,17.78,17.42,17.54,12448800,16.92554
2015-02-06,18.00,18.00,17.64,17.76,24464800,17.13783
2015-02-05,18.40,18.46,17.58,17.74,41437000,17.11853
2015-02-04,17.54,17.70,17.30,17.40,29617100,16.79044
2015-02-03,17.12,17.54,16.90,17.50,20797800,16.88694
2015-02-02,16.80,17.28,16.72,17.24,26350500,16.63604
2015-01-30,17.42,17.56,17.28,17.36,15307300,16.75184
2015-01-29,17.40,17.44,17.10,17.28,26135700,16.67464
2015-01-28,17.98,18.08,17.60,17.66,24298600,17.04133
2015-01-27,18.42,18.56,17.82,17.94,29681300,17.31152
2015-01-26,18.60,18.68,18.28,18.54,21464600,17.8905
2015-01-23,18.60,18.76,18.48,18.68,27712100,18.0256
2015-01-22,18.48,18.60,18.14,18.32,19036100,17.67821
2015-01-21,17.86,18.38,17.76,18.20,24984100,17.56241
2015-01-20,17.22,17.84,17.10,17.74,37461200,17.11853
2015-01-19,17.80,17.80,16.68,17.16,65859900,16.55885
2015-01-16,18.38,18.38,17.92,18.20,25890800,17.56241
2015-01-15,17.72,18.44,17.62,18.42,40221900,17.77471
2015-01-14,18.20,18.52,17.94,17.98,30719300,17.35012
2015-01-13,18.24,18.56,18.24,18.28,23021900,17.63961
2015-01-12,18.90,18.90,18.14,18.54,24605200,17.8905
2015-01-09,18.42,19.28,18.30,19.04,40716500,18.37299
2015-01-08,18.54,18.80,18.10,18.12,28031200,17.48522
2015-01-07,18.76,19.08,18.32,18.38,39199200,17.73611
2015-01-06,19.40,19.52,18.80,18.86,29002400,18.19929
2015-01-05,19.50,19.88,19.22,19.40,25022000,18.72037
2015-01-02,19.60,19.90,19.30,19.90,15078900,19.20286
2015-01-01,19.46,19.46,19.46,19.46,000,18.77827
