Symbol	Name	Activities	Industry	Summary
0431.HK	Greater China Financial Holdings Ltd.	Investment holding, pawnshop business, industrial property development and general trading included trading of metal materials and electronic products etc.	Financials - Other Financials - Financing (HSIC*)	Greater China Financial Holdings Limited, an investment holding company, engages in pawnshop, industrial property development, and general trading businesses in the Peoples Republic of China.
0377.HK	Huajun Holdings Ltd.	Sale \& manufacturing of high quality multi-colour packaging products, carton boxes, books, brochures \& other paper products; provision of finance; securities investments; property investments; finance leasing; trading \& medical management.	Industrials - Commercial \& Professional Services - Printing \& Packaging (HSIC*)	Huajun Holdings Limited, together with its subsidiaries, manufactures multi-color packaging products, carton boxes, books, brochures, and other paper products.
1195.HK	Kingwell Group Ltd.	Property development and gold mine exploration.	Properties \& Construction - Properties - Property Development (HSIC*)	Kingwell Group Limited, an investment holding company, engages in gold mining and property development businesses in Mainland China and internationally.
0845.HK	Glorious Property Holdings Ltd.	Develop and sale of high quality properties in key economic cities in the PRC.	Properties \& Construction - Properties - Property Development (HSIC*)	Glorious Property Holdings Limited, an investment holding company, develops and sells large-scale real estate properties in the Peoples Republic of China.
1170.HK	Kingmaker Footwear Holdings Ltd.	Manufacture, trading and retailing of footwear.	Consumer Goods - Textiles, Clothing \& Personal Care - Footwear (HSIC*)	Kingmaker Footwear Holdings Limited, an investment holding company, engages in the manufacture, trade, and retail of men's, women's, and children's footwear.
6823.HK	HKT Trust and HKT Ltd. - SS	Provision of telecommunications and related services which include local telephony, local data and broadband, international telecommunications, mobile, customer premises equipment sale, outsourcing, consulting and contact centers.	Telecommunications - Telecommunications(HSIC*)	HKT Trust and HKT Limited provides telecommunications and related services. Its Telecommunications Services segment offers telecommunications products and services including local telephony, broadband access services, local and international data,.
0066.HK	MTR Corporation Ltd.	Railway design, construction, operation, maintenance and investment in Hong Kong, the Mainland of China and overseas cities; project management; station commercial business; property business; and investment in Octopus Holdings Limited.	Consumer Services - Transportation - Public Transport (HSIC*)	MTR Corporation Limited designs, constructs, operates, maintains, and invests railways in Hong Kong, the Mainland China, and internationally. The company operates a rail-based transportation system in Hong Kong, comprising domestic and cross-bound.
0054.HK	Hopewell Holdings Ltd.	Investment in toll roads and power plant, property development and investment, property agency and management, hotel ownership and management, restaurant operations and food catering.	Conglomerates - Conglomerates - Conglomerates (HSIC*)	Hopewell Holdings Limited, an investment holding company, engages in the investment in infrastructure projects, property development and investment, property agency and management, hotel investment and management, restaurant operations, and food c.
0011.HK	Hang Seng Bank Ltd.	Provision of banking and related financial services.	Financials - Banks - Banks (HSIC*)	Hang Seng Bank Limited, together with its subsidiaries, provides banking and related financial services to individual, corporate, commercial, SME, and institutional customers in Hong Kong, rest of Asia-Pacific, and other countries.
0012.HK	Henderson Land Development Co. Ltd.	Property development and investment, construction, infrastructure, hotel operation, finance, department store operation, project management, investment holding and property management.	Properties \& Construction - Properties - Property Development (HSIC*)	Henderson Land Development Company Limited, an investment holding company, engages in the property development and investment activities in the Peoples Republic of China.
0013.HK	None	None	None	Hutchison Whampoa Limited, an investment holding company, operates in ports and related services, property and hotels, retail, infrastructure, energy, and mobile telecommunications businesses worldwide.
0014.HK	Hysan Development Co. Ltd.	Property investment, management and development.	Properties \& Construction - Properties - Property Investment (HSIC*)	Hysan Development Company Limited, together with its subsidiaries, engages in the investment, development, and management of properties in Hong Kong. It leases office, retail, and residential properties.
0015.HK	Vantage International (Holdings) Ltd.	Provision of construction, civil engineering, maintenance and other contract works in public and private sectors in Hong Kong, property investment and development.	Properties \& Construction - Construction - Building Construction (HSIC*)	Vantage International (Holdings) Limited, an investment holding company, engages in the construction, civil engineering, maintenance, and other contract works in public and private sectors in Hong Kong.
0016.HK	Sun Hung Kai Properties Ltd.	Development of and investment in properties for sale and rent, hotel operation, telecommunications, transportation, infrastructure and logistics.	Properties \& Construction - Properties - Property Investment (HSIC*)	Sun Hung Kai Properties Limited develops, sells, and rents real estate properties in Hong Kong, Mainland China, and internationally. The companys properties include residential projects, offices, industrial buildings, and shopping centers.
0017.HK	New World Development Co. Ltd.	Property investment and development, contracting, provision of services, infrastructure operations, telecommunication services, department store, hotel and restaurant operations and telecommunications, media and technology businesses.	Properties \& Construction - Properties - Property Development (HSIC*)	New World Development Company Limited, an investment holding company, invests in, develops, and manages properties in Hong Kong, Mainland China, and internationally.
0018.HK	Oriental Press Group Ltd.	Publication of newspapers.	Consumer Services - Media \& Entertainment - Publishing (HSIC*)	Oriental Press Group Limited, an investment holding company, engages in the publication of newspapers in Hong Kong and Australia. The companys flagship publication includes Oriental Daily News, a daily newspaper covering local and world news.
0019.HK	Swire Pacific Ltd. 'A'	Property, aviation, beverages, marine services and trading \& industrial.	Conglomerates - Conglomerates - Conglomerates (HSIC*)	Swire Pacific Limited engages in property, aviation, beverages, marine services, and trading and industrial businesses worldwide. Its Property Division develops, owns, and operates mixed-use properties.
