Stock Symbol,Company Name,Industry,Summary
0431.HK,G CHINA FIN
0377.HK,HUAJUN HOLD
1195.HK,KINGWELL GROUP
0845.HK,GLORIOUS PPT H
1170.HK,KINGMAKER
6823.HK,HKT-SS
0066.HK,MTR CORPORATION
0054.HK,HOPEWELL HOLD
0011.HK,HANG SENG BANK
0012.HK,HENDERSON LAND
0013.HK,HUTCHISON
0014.HK,HYSAN DEV
0015.HK,VANTAGE INT'L
0016.HK,SHK PPT
0017.HK,NEW WORLD DEV
0018.HK,ORIENTAL PRESS
0019.HK,SWIRE PACIFIC A
0020.HK,WHEELOCK
0021.HK,GREAT CHI PPT
0022.HK,MEXAN
0023.HK,BANK OF E ASIA
0024.HK,BURWILL
0025.HK,CHEVALIER INT'L
0026.HK,CHINA MOTOR BUS
0027.HK,GALAXY ENT
0028.HK,TIAN AN
0029.HK,DYNAMIC HOLD
0030.HK,BAN LOONG HOLD
0031.HK,CHINA AEROSPACE
0032.HK,CROSS-HAR(HOLD)
0700.HK,TENCENT
0034.HK,KOWLOON DEV
0035.HK,FE CONSORT INTL
0068.HK,LEE HING
0038.HK,FIRST TRACTOR
0039.HK,CH BEIDAHUANG
0040.HK,GOLD PEAK
0001.HK,
0002.HK,
0003.HK,
0004.HK,
0005.HK,
0006.HK,
0007.HK,
0008.HK,
0009.HK,
